place,bu,status,hydrostaticTest,location,email,type,kind,area,registerDate,id,country,site
Sub L/S Crusher K6,th,Active,2017,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2012,PLANT3-EE3-C1-1-24No.1,thailand,plant3
Sub L/S Crusher K5,th,Active,2021,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-1-25No.1,thailand,plant3
Shale K5 (MCC/MDB),th,Active,2017,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2012,PLANT3-EE3-C1-1-46No.1,thailand,plant3
Shale K5 (Control Room),th,Active,2017,ซ่อมไฟฟ้า 1 (Crusher),EE3-1 Crusher(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2012,PLANT3-EE3-C1-1-47No.1,thailand,plant3
Sub Cement Z1,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-26No.1,thailand,plant3
Sub Cement Z2,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-27No.1,thailand,plant3
Sub Cement Z3,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-28No.1,thailand,plant3
Sub Cement Z5-Z6,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-3-29No.1,thailand,plant3
Sub Cement Z5-Z6,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-3-29No.2,thailand,plant3
Sub Cement Z5-Z6,th,Active,2016,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2011,PLANT3-EE3-C2-3-29No.3,thailand,plant3
Sub EP Cement Z1,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-30No.1,thailand,plant3
Sub EP Cement Z2,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-31No.1,thailand,plant3
Sub EP Cement Z3,th,Active,2012,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2007,PLANT3-EE3-C2-1-32No.2,thailand,plant3
Mixing Plant,th,Active,2009,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2004,PLANT3-EE3-C1-2-57No.1,thailand,plant3
Mixing Plant,th,Active,2027,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2022,PLANT3-EE3-C1-2-57No.2,thailand,plant3
"ชั้นล่าง MDB, MCC  (Z8, Z9)",th,Active,2024,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C2-5-59No.1,thailand,plant3
"ชั้นล่าง MDB, MCC  (Z8, Z9)",th,Active,2024,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C2-5-59No.2,thailand,plant3
"ชั้นล่าง MDB, MCC  (Z8, Z9)",th,Active,2024,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2019,PLANT3-EE3-C2-5-59No.3,thailand,plant3
"ชั้นล่าง MDB, MCC  (Z8, Z9)",th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C2-5-59No.4,thailand,plant3
"ชั้นล่าง MDB, MCC  (Z8, Z9)",th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C2-5-59No.5,thailand,plant3
ชั้น 2 ห้อง Drive Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-60No.1,thailand,plant3
ชั้น 2 ห้อง Drive Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-60No.2,thailand,plant3
ชั้น 2 ห้อง Drive Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-60No.3,thailand,plant3
ชั้น 2 ห้อง Drive Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-61No.1,thailand,plant3
ชั้น 2 ห้อง Drive Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-61No.2,thailand,plant3
ชั้น 2 ห้อง Drive Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-61No.3,thailand,plant3
ชั้น 3 ห้อง I/O Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-62No.1,thailand,plant3
ชั้น 3 ห้อง I/O Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-62No.2,thailand,plant3
ชั้น 3 ห้อง I/O Z8,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-62No.3,thailand,plant3
ชั้น 3 ห้อง I/O Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-63No.1,thailand,plant3
ชั้น 3 ห้อง I/O Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-63No.2,thailand,plant3
ชั้น 3 ห้อง I/O Z9,th,Active,2021,ซ่อมไฟฟ้า 1 (Cement),EE3-1 CM(N),extinguisher,Dry Chemical,ซ่อมไฟฟ้า,2016,PLANT3-EE3-C1-3-63No.3,thailand,plant3
อาคาร Cooling Tower ชั้น 1 ข้างห้อง Patrol RM,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-001No.1,thailand,plant3
อาคาร Cooling Tower ชั้น 1 ข้างบันได,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-002No.1,thailand,plant3
อาคาร Cooling Tower ชั้น 1 หน้า Sand tank,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-003No.1,thailand,plant3
อาคาร Cooling Tower ชั้น 2 ข้าง พัดลม,th,Active,2019,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2014,PLANT3-WR3-D1-1-004No.1,thailand,plant3
อาคารโรงกรองน้ำ ชั้น 1 ข้าง ถังปรับสภาพน้ำ,th,Active,2027,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2022,PLANT3-WR3-D1-1-005No.1,thailand,plant3
อาคารโรงกรองน้ำ ชั้น 1 ข้าง Water pump,th,Active,2027,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2022,PLANT3-WR3-D1-1-006No.1,thailand,plant3
อาคารโรงกรองน้ำชั้น 1 ในห้อง Comp.,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-007No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2019,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2014,PLANT3-WR3-D1-1-008No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-009No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-010No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-011No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-012No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-013No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-014No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-015No.1,thailand,plant3
อาคาร TG ชั้น 1 ภายในอาคาร TG,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-016No.1,thailand,plant3
อาคาร TG ชั้น 1 ข้างห้อง Sub,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-017No.1,thailand,plant3
อาคาร TG ชั้น 1 ข้างห้อง Generator,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-018No.1,thailand,plant3
อาคาร TG ชั้น 2 Hot oil tank,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-019No.1,thailand,plant3
อาคาร TG ชั้น 2 Hot oil tank,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-020No.1,thailand,plant3
อาคาร TG ชั้น 2 Hot oil tank,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-021No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-022No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-023No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-024No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-025No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-026No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-027No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-028No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-029No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-030No.1,thailand,plant3
อาคาร TG ชั้น 3 ข้าง Turbine,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-031No.1,thailand,plant3
อาคาร TG ชั้น 4 ข้าง De-aerator,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-032No.1,thailand,plant3
อาคาร TG ชั้น 4 ข้าง De-aerator,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-033No.1,thailand,plant3
อาคาร TG ชั้น 4 ข้าง De-aerator,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-034No.1,thailand,plant3
อาคาร AQC.5 ชั้น 3 ข้าง Drag chain,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-035No.1,thailand,plant3
อาคาร AQC.5 ชั้น 2 ข้าง Drag chain,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-036No.1,thailand,plant3
อาคาร AQC.6 ชั้น 2 ข้าง Drag chain,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-037No.1,thailand,plant3
อาคาร AQC.6 ชั้น 2 ข้าง Drag chain,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-038No.1,thailand,plant3
อาคาร SP 5 ชั้น 2 ข้าง Drag chain,th,Active,2015,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,2010,PLANT3-WR3-D1-1-039No.1,thailand,plant3
อาคาร TG ชั้น 3 ในห้อง LCR,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-040No.1,thailand,plant3
อาคาร TG ชั้น 3 ในห้อง LCR,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-041No.1,thailand,plant3
อาคาร TG ชั้น 3 หน้าห้อง LCR,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-042No.1,thailand,plant3
อาคาร TG ชั้น 3 หน้าห้อง LCR,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-043No.1,thailand,plant3
อาคาร TG ชั้น 1 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-044No.1,thailand,plant3
อาคาร TG ชั้น 1 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-045No.1,thailand,plant3
อาคาร TG ชั้น 1 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-046No.1,thailand,plant3
อาคาร TG ชั้น 2 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-047No.1,thailand,plant3
อาคาร TG ชั้น 2 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-048No.1,thailand,plant3
อาคาร TG ชั้น 2 หน้าห้อง Substation,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-049No.1,thailand,plant3
อาคาร CWT หน้าห้อง Substation CWT,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-050No.1,thailand,plant3
อาคาร SP5 ชั้น 2 หน้าห้อง Substation SP5,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-051No.1,thailand,plant3
อาคาร AQC5 ชั้น 2 หน้าห้อง Substation AQC5,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-052No.1,thailand,plant3
อาคาร SP6 ชั้น 2 หน้าห้อง Substation SP6,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-053No.1,thailand,plant3
อาคาร AQC6 ชั้น 2 หน้าห้อง Substation AQC6,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-054No.1,thailand,plant3
อาคาร TG ชั้น 1 หน้าห้อง Substation Switch Gear,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-055No.1,thailand,plant3
อาคาร TG ชั้น 1 หน้าห้อง Substation หม้อแปลงไฟ,th,Active,n-a,หน่วยงานผลิตกระแสไฟฟ้า,WHR(N),extinguisher,Dry Chemical,หน่วยงานผลิตกระแสไฟฟ้า,ไม่พบข้อมูลปีที่ผลิต,PLANT3-WR3-C2-1-056No.1,thailand,plant3
,th,Active,,,,hydrant,Rental Car,,,SUPPORT-1นจ1765,thailand,support
,th,Active,,,,hydrant,Rental Car,,,SUPPORT-3ขน3757,thailand,support
,th,Active,,,,hydrant,Rental Car,,,SUPPORT-3ขน3767,thailand,support
,th,Active,,,,hydrant,Rental Car,,,SUPPORT-3ฒศ4403,thailand,support
,th,Active,,,,hydrant,Rental Car,,,SUPPORT-4ขต1057,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1นค9154,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-3ฒร6531,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1นจ1746,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1นจ1745,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1นจ1744,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1นจ1743,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บว494,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7916,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7913,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7905,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7903,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7902,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7901,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7880,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4ขค7875,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360277,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360260,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360188,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360186,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360174,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360085,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360072,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360071,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-360052,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-นข5961,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305809,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305789,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305788,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305787,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305786,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305785,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305784,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305783,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305782,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-305781,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-1ฒข629,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-4กน3243,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-ถษ1051,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บบ5084,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บษ7264,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บร3986,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บล7004,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-3ฒอ7915,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-กว9942,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บว7707,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บห8078,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บม4603,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บม6573,thailand,support
,th,Active,,,,hydrant,Contractor Car,,,SUPPORT-บธ3641,thailand,support
