site,type,country,bu,id,kind,name,sitename,place,location,owner,plantname
log,extinguisher,thailand,th,LOG-PP2-1-063,Dry chemical,,,เสาช่องจ่ายปูนผงใต้ Silo 15,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-4-070,Dry chemical,,,เสาหน้าเครื่อง Magazine Line 10,Packing 2ชั้น 4,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-078,Dry chemical,,,หน้าลิฟท์ขนถุง T1,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-002,Dry chemical,,,หน้า Roto 2,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-010,Dry chemical,,,หน้าห้อง Compressor,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-014,Dry chemical,,,Maggazine 4,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-016,Dry chemical,,,Maggazine 9,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-017,Dry chemical,,,หน้าห้อง Spare Part,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-024,Dry chemical,,,หน้า Roto 15,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-029,Dry chemical,,,Maggazine 16,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-003,Non CFC,,,ห้อง Sup k 5,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-015,Non CFC,,,Sup Bagmaking k 6,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-022,CO2,,,Sup Mixing plant,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-HRF-BMP-003,CO2,,,ชั้น 4 ที่เก็บถุงด้านหน้า K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-HRF-BMP-006,CO2,,,ชั้น 4 บริเวณเครื่อง Bottomer K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-HRF-BMP-008,CO2,,,ชั้น 4 บริเวณเครื่อง Tuber K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-HRF-BMP-010,CO2,,,ชั้น 4 บริเวณเครื่อง Tuber K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-001,Dry chemical,,,ชั้น 1 ด้านหน้าทางเข้าอาคารเก็บม้วนกระดาษ K5 ข้างลิฟท์ขนถุงขวามือ,Packaging K5ชั้น 1,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-006,Dry chemical,,,ชั้น 4 ด้านในที่เก็บถุง K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-FE-LA-01,CO2,,,ห้องออกผลทดสอบ,"ESB, Lab Amatacity",CTC,
log,extinguisher,thailand,th,LOG-FE.OB.G.02,Dry Chemical,,,ทางเข้าสำนักงานฝั่งPDD,"ITSC, Metro",PDD,
log,extinguisher,thailand,th,LOG-FE.TC.1.05,CO2,,,ห้องทดสอบ,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.TC.1.06,CO2,,,ห้องทดสอบ,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-FE.TC.2.03,CO2,,,หน้าห้องประชุมปทุม 1-2,"ITSC, Metro",CTC,
log,extinguisher,thailand,th,LOG-OL-FE-002,Dry chemical,,,อาคารศูนย์บริการลูกค้าชั้น 2,ศูนย์บริการลูกค้า ชั้น 2,ศูนย์บริการลูกค้า,
log,extinguisher,thailand,th,LOG-SCCC-MHE-002,Dry chemical,,,อาคารคลังพาเลท,คลังพาเลท ชั้น 1,คลังพาเลท,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-011,Dry chemical,,,ทางเดินชั้น 3,office ชั้น 3,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-014,Dry chemical,,,ทางเดินชั้น 4,office ชั้น 4,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-022,BF2000,,,,MDB&MCC1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-028,Dry chemical,,,,ท่าเทียบเรือ,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-OL-SRT-FE-030,BF2000,,,,compresser room 1,ศูนย์กระจายสินค้าสุราษฎร์ธานี,
log,extinguisher,thailand,th,LOG-PLOC.005,Dry chemical,,,อาคารศูนย์บริการลูกค้าชั้น 1ช่องทางเดิน,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.008,Non CFC,,,อาคารศูนย์บริการลูกค้าชั้น1ห้อง In-Plant,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PLOC.040,Dry chemical,,,ร้านที่ 8 ร้านขายไก่ทอด,ศบล.ชั้น 1,Dispatching,
log,extinguisher,thailand,th,LOG-PP2-1-008,Dry chemical,,,เสาหน้าช่องจ่ายปูนถุง 6 - 7 T1.,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-2-019,Dry chemical,,,เสาหลัง Truck Loader 3 -4 T1,Packing 2ชั้น 2,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-026,Dry chemical,,,ประตูทางเข้าอาคารเก็บ Stock ถุง,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-028,Dry chemical,,,ประตูทางเข้าอาคารเก็บ Stock ถุง,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-038,Dry chemical,,,ภายในอาคาร New Big Bag,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-PP2-4-041,Dry chemical,,,ใต้ Bin Tank New Big Bag ชั้นที่ 4,Packing 2ชั้น 4,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-048,Dry chemical,,,หน้าห้องเก็บน้ำมันหล่อลื่น,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-1-058,Dry chemical,,,หน้าห้องหม้อแปลงพลังงานไฟฟ้าแสงอาทิตย์,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-PP2-3-067,CO2,,,หน้าห้องแผงควบคุมเก่า T2.,Packing 2ชั้น 3,Packing,
log,extinguisher,thailand,th,LOG-DRF-BMP2-01,Dry chemical,,,อาคารเก็บม้วนกระดาษ เสาที่2 Packing2,Packing 2ชั้น 1,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-006,Dry chemical,,,หน้าห้อง Compressor,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-012,Dry chemical,,,Bucket 1-2,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-015,Dry chemical,,,Maggazine 6,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-026,Dry chemical,,,หน้า Roto 19,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-048,Dry chemical,,,หน้าช่องจ่ายที่ 15,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DFR-PP3-056,Foam,,,คลังน้ำมัน warehouse,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-HAF-PP3-057,Non CFC,,,ห้องแผง k 6,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-005,Non CFC,,,ห้อง Sup k 5,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-007,Non CFC,,,ห้อง Sup k 5,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-EE-021,CO2,,,Sup Mixing plant,Packing 3ชั้น,Packing,
log,extinguisher,thailand,th,LOG-DRF-BMP-008,Dry chemical,,,ชั้น 4 ด้านในที่เก็บถุง K5,Packaging K5ชั้น 4,Packaging,
log,extinguisher,thailand,th,LOG-DRF-BMP-017,Dry chemical,,,ชั้น 1 เสาด้านในอาคารเก็บม้วนกระดาษ ตรงข้ามที่เก็บถังสี,Packaging K5ชั้น 4,Packaging,
