site,type,country,bu,id,kind,owner,place,holder,registerDate,status
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-06,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-07,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-08,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-09,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-10,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-11,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-12,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-13,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-14,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-15,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-16,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-CoM-17,Fire Indoor hydrant,Coal Mill,,Coal Mill,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-01,Fire Indoor hydrant,EVE,,EVE,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-02,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-03,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-04,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-05,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-06,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-07,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-08,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-09,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-MN-10,Fire Indoor hydrant,Maintenaince workshop,,Maintenaince workshop,,
cmic,hydrant,cambodia,cmic,CMIC-H-CT-01,Fire Indoor hydrant,Canteen,,Canteen,,
cmic,hydrant,cambodia,cmic,CMIC-H-CT-02,Fire Indoor hydrant,Canteen,,Canteen,,
cmic,hydrant,cambodia,cmic,CMIC-H-CT-03,Fire Indoor hydrant,Canteen,,Canteen,,
cmic,hydrant,cambodia,cmic,CMIC-H-QW-01,Fire Indoor hydrant,Quarry,,Quarry,,
cmic,hydrant,cambodia,cmic,CMIC-H-QW-02,Fire Indoor hydrant,Quarry,,Quarry,,
cmic,hydrant,cambodia,cmic,CMIC-H-QW-03,Fire Indoor hydrant,Quarry,,Quarry,,
